event_uuid,user_guid,user_site_id,client_type,event_type,status,created_date,updated_date
9ee67f7f-60cf-466a-b23e-d7512b75da49,a90f5fb812c142b9891c037a8c88aa33,,0,3,1,2019-06-19 14:02:17,2019-06-19 14:02:17
00736a29-3c40-42eb-94d7-a5f3f4d0754a,c50fa1fe8bca499d9a0318859b32cb8e,,8,8,1,2019-03-31 12:10:53,2019-03-31 12:10:53
0d908061-2435-42c3-9603-51792b942f6c,dac520f675d749d198dbdaca591fdba8,,5,10,1,2019-03-31 12:16:13,2019-03-31 12:16:13
354d3561-799a-4939-92b2-1fd31d6c5497,3f1788afba9a46ce82d7b9fe790713be,,7,11,1,2019-03-31 12:56:52,2019-03-31 12:56:52
240f63b1-766c-4837-ba46-21e94b8a6683,346fa77b9b004645b9739d337f7866a9,,1,10,1,2019-03-27 16:00:10,2019-03-27 16:00:10
4691fe14-7543-4034-a8c4-87b8649ffe19,06b8517383624f4bbf6db6eea396677b,,2,7,1,2019-03-27 00:31:52,2019-03-27 00:31:52
5070c7f0-97da-4303-9bdb-87fc592113b6,8038dd5f2df64e9cb77c5d7b802c6b26,,9,2,1,2019-03-31 18:44:47,2019-03-31 18:44:47
5b2b2e39-a07b-4299-8854-61821b8ede43,c31bb27dec1f472d924bcef7b102b896,,6,9,1,2019-03-31 21:26:54,2019-03-31 21:26:54
5f20bd0f-3205-463c-9ab8-4141b9300bc0,f57af354fcfd4554a63a7038d5232938,,9,3,1,2019-03-31 12:57:43,2019-03-31 12:57:43
640cfa47-eb4d-45b3-a7f6-1600ee9989f1,5e7bba723cb74344b5b7d46e6b235f65,,1,6,1,2019-03-29 11:24:53,2019-03-29 11:24:53
75644d80-a22f-431e-93f8-aa238c5176f5,ed6fe8d10ca944d9a91073501f81b093,,2,9,1,2019-03-31 12:13:27,2019-03-31 12:13:27
50cb22a0-0e43-4534-947a-0f10b39238d1,883a691d4a944af995cf50cba701a8d6,,8,13,1,2019-06-20 11:57:49,2019-06-20 11:57:49
8bf6ac0d-eecd-4ad5-b999-792dea9a835a,77af79bcddd445c5bb5949dfd3b46472,,1,7,1,2019-04-01 11:25:15,2019-04-01 11:25:15
8fce048a-0601-43d5-bdea-c2682ed75ac2,6d22750f7fcd4571b8249b7832d6d4ff,,6,15,1,2019-03-31 11:31:48,2019-03-31 11:31:48
aadda27b-5ce1-4a5c-8d10-608791aa6e34,b61a56b4c79d43fa9af112f60b37f5d6,,2,13,1,2019-04-01 11:24:18,2019-04-01 11:24:18
b200e0d5-601c-4010-9b56-f330b8b0f714,3f1788afba9a46ce82d7b9fe790713be,,7,11,1,2019-03-31 12:56:51,2019-03-31 12:56:51
c4ff9227-b966-42b0-a283-0cb64ecf02b9,32ef9404db59476891ee8a18e53d3e54,,1,5,1,2019-03-31 12:12:08,2019-03-31 12:12:08
dfab4b62-6892-42a9-a8e3-849c82c5068a,1470f455e0b94244b40e6a6b4b029ec6,,6,12,1,2019-03-31 18:08:57,2019-03-31 18:08:57
f3d9b854-d92f-4ef9-b219-7facdc0aed3d,d9243c8bbca747b5bf0a91f7882cf7f1,,2,15,1,2019-03-31 18:46:58,2019-03-31 18:46:58
0d14ed4f-f9d0-4c51-b7f1-0fc238b4b1c1,54ab0c1c231a47ffb911e5aef5057591,,0,9,1,2019-06-20 13:56:11,2019-06-20 13:56:11
3f07c21c-0d15-44dd-8e27-252d22e5bf50,b8e5f2f76bf44c8ebc39107086d1dcb5,,1,11,1,2019-06-19 23:43:00,2019-06-19 23:43:00
20b45147-5587-4521-bf71-c1e4c636c6ea,9704a80e85ec4f4f815cb0cf3321ccfa,444,1,15,1,2019-03-30 19:33:28,2019-03-30 19:33:28
05d49e07-8937-4831-b49a-256c85decda6,8eaace111878430d81ccde00d3005418,,8,1,1,2019-03-31 18:04:34,2019-03-31 18:04:34
